,holiday,temperature,rain_1h,snow_1h,clouds_percentage,weather_type,weather_type_details,date_time,population_density,population_density_categorical
15177,None,293.81,0.0,0.0,56,Clouds,broken clouds,7/1/2014 9:00,5214,high
1544,None,269.69,0.0,0.0,20,Clouds,few clouds,11/29/2012 0:00,561,very low
41420,None,252.55,0.0,0.0,20,Clouds,few clouds,2/11/2018 8:00,2817,very low
13849,None,286.23,0.0,0.0,40,Clouds,scattered clouds,4/22/2014 14:00,5229,high
30776,None,269.89,0.0,0.0,90,Clouds,overcast clouds,2/5/2017 4:00,482,very low
21670,None,291.5,0.0,0.0,90,Clouds,overcast clouds,3/8/2016 12:00,4780,high
14716,None,291.44,0.0,0.0,1,Clear,sky is clear,5/28/2014 23:00,1127,very low
26703,None,284.47,0.0,0.0,1,Mist,mist,9/18/2016 4:00,422,very low
30289,None,275.34,0.0,0.0,90,Fog,fog,1/20/2017 17:00,5804,high
47198,None,291.07,0.25,0.0,75,Rain,light rain,8/29/2018 13:00,4999,high
19832,None,276.61,0.0,0.0,75,Clouds,broken clouds,12/5/2015 8:00,3009,low
8653,None,301.8,0.0,0.0,0,Clear,Sky is Clear,8/25/2013 19:00,3503,low
18371,None,285.86,0.0,0.0,1,Clear,sky is clear,9/18/2015 4:00,826,very low
7472,None,299.39,0.0,0.0,0,Clear,Sky is Clear,7/6/2013 11:00,3824,low
29191,None,261.72,0.0,0.0,90,Snow,light snow,12/16/2016 18:00,2344,very low
18585,None,289.47,0.0,0.0,90,Mist,mist,9/25/2015 8:00,5805,high
26108,None,289.06,0.0,0.0,90,Fog,fog,8/28/2016 7:00,1228,very low
18726,None,278.48,0.0,0.0,1,Clear,sky is clear,10/2/2015 4:00,870,very low
14671,None,292.58,3.12,0.0,90,Rain,moderate rain,5/27/2014 2:00,245,very low
25610,None,304.775,0.0,0.0,8,Clear,sky is clear,8/9/2016 16:00,6074,very high
2368,None,263.45,0.0,0.0,90,Mist,mist,12/25/2012 7:00,478,very low
20734,None,267.15,0.0,0.0,90,Mist,mist,1/21/2016 0:00,539,very low
6974,None,287.64,0.0,0.0,0,Clear,Sky is Clear,6/14/2013 7:00,6651,very high
25143,None,301.48,0.0,0.0,20,Clouds,few clouds,7/22/2016 10:00,4007,low
37803,None,286.15,0.0,0.0,90,Mist,mist,10/6/2017 20:00,3137,low
2449,None,266.16,0.0,0.0,90,Snow,heavy snow,12/28/2012 16:00,5441,high
11992,None,256.91,0.0,0.0,75,Clouds,broken clouds,2/4/2014 1:00,296,very low
45907,None,300.22,0.0,0.0,20,Clouds,few clouds,7/16/2018 20:00,2900,very low
27268,None,289.81,0.0,0.0,92,Clouds,overcast clouds,10/11/2016 21:00,2091,very low
18337,None,295.23,2.06,0.0,90,Rain,moderate rain,9/17/2015 9:00,5359,high
27475,None,276.055,0.0,0.0,68,Clouds,broken clouds,10/21/2016 1:00,374,very low
44570,None,296.79,0.0,0.0,40,Clouds,scattered clouds,5/31/2018 11:00,5008,high
19999,None,274.87,0.0,0.0,90,Rain,light rain,12/14/2015 15:00,5532,high
27395,None,290.724,0.0,0.0,12,Clouds,few clouds,10/17/2016 10:00,4064,low
26269,None,288.44,0.0,0.0,1,Clear,sky is clear,9/3/2016 0:00,1253,very low
20648,None,257.3,0.0,0.0,1,Clear,sky is clear,1/16/2016 5:00,688,very low
34457,None,291.41,0.0,0.0,90,Fog,fog,6/12/2017 3:00,320,very low
21044,None,269.21,0.0,0.0,90,Snow,light snow,2/4/2016 14:00,5252,high
34722,None,296.22,0.0,0.0,1,Clear,sky is clear,6/21/2017 22:00,2157,very low
29802,None,251.46,0.0,0.0,1,Clear,sky is clear,1/5/2017 23:00,1106,very low
3077,None,255.49,0.0,0.0,40,Clouds,scattered clouds,1/21/2013 2:00,270,very low
13418,None,276.79,2.1,0.0,75,Rain,moderate rain,4/4/2014 15:00,4811,high
11626,None,260.28,0.0,0.0,64,Clouds,broken clouds,1/20/2014 16:00,4687,high
35303,None,287.15,0.0,0.0,90,Clouds,overcast clouds,7/13/2017 7:00,6576,very high
44533,None,295.35,0.0,0.0,90,Rain,moderate rain,5/30/2018 16:00,7042,very high
47671,None,294.21,0.25,0.0,75,Rain,light rain,9/14/2018 4:00,892,very low
36250,None,293.51,0.0,0.0,90,Clouds,overcast clouds,8/14/2017 14:00,5011,high
13839,None,277.69,0.0,0.0,1,Clear,sky is clear,4/22/2014 4:00,815,very low
1451,None,261.45,0.0,0.0,1,Clear,sky is clear,11/25/2012 2:00,536,very low
9620,None,271.61,0.0,0.0,75,Clouds,broken clouds,10/22/2013 8:00,6375,very high
4393,None,264.7,0.0,0.0,90,Snow,heavy snow,3/19/2013 19:00,3463,low
27243,None,292.49,0.0,0.0,36,Clouds,scattered clouds,10/10/2016 20:00,2608,very low
45330,None,291.55,0.0,0.0,90,Rain,heavy intensity rain,6/26/2018 4:00,887,very low
26573,None,287.15,0.0,0.0,1,Clear,sky is clear,9/13/2016 5:00,2846,very low
26030,None,285.75,0.0,0.0,1,Mist,mist,8/26/2016 4:00,872,very low
26907,None,288.7,0.0,0.0,68,Clouds,broken clouds,9/26/2016 19:00,2986,low
34270,None,288.82,0.0,0.0,1,Clear,sky is clear,6/5/2017 4:00,1071,very low
34101,None,285.15,0.0,0.0,90,Clouds,overcast clouds,5/29/2017 6:00,930,very low
30051,None,258.22,0.0,0.0,1,Clear,sky is clear,1/14/2017 23:00,1928,very low
9587,None,274.8,0.0,0.0,90,Snow,light snow,10/20/2013 10:00,3391,low
37188,None,297.55,0.0,0.0,75,Clouds,broken clouds,9/15/2017 21:00,3065,low
10353,None,274.39,0.76,0.0,90,Fog,fog,12/3/2013 12:00,4760,high
46656,None,300.88,0.0,0.0,5,Clear,sky is clear,8/12/2018 12:00,4037,low
10505,None,256.92,0.25,0.0,64,Rain,light rain,12/8/2013 8:00,1539,very low
42999,None,263.08,0.0,0.0,90,Snow,light snow,4/7/2018 2:00,496,very low
2206,None,269.2,0.0,0.0,90,Mist,mist,12/19/2012 15:00,5912,very high
36945,None,287.94,0.0,0.0,1,Clear,sky is clear,9/6/2017 11:00,5185,high
22888,None,277.76,1.09,0.0,90,Mist,mist,4/28/2016 22:00,1993,very low
3263,None,253.77,0.0,0.0,99,Clouds,overcast clouds,1/31/2013 22:00,2040,very low
29596,None,270.9,0.0,0.0,90,Snow,light snow,12/29/2016 18:00,4210,low
32239,None,273.52,0.0,0.0,40,Clouds,scattered clouds,3/31/2017 8:00,5944,very high
16045,None,294.11,0.0,0.0,1,Clear,sky is clear,6/27/2015 9:00,3481,low
36536,None,288.36,0.0,0.0,1,Clear,sky is clear,8/23/2017 9:00,5429,high
27903,None,288.69,0.0,0.0,40,Clouds,scattered clouds,11/7/2016 17:00,5691,high
42709,None,274.81,0.0,0.0,40,Mist,mist,3/28/2018 9:00,5082,high
2023,None,270.29,0.0,0.0,75,Mist,mist,12/15/2012 11:00,3938,low
12513,None,258.38,0.0,0.0,1,Clear,sky is clear,2/25/2014 15:00,5668,high
7963,None,292.73,0.0,0.0,24,Thunderstorm,proximity thunderstorm,7/27/2013 2:00,537,very low
18147,None,288.58,0.38,0.0,20,Rain,light rain,9/10/2015 9:00,5642,high
44309,None,288.75,0.0,0.0,1,Mist,mist,5/23/2018 4:00,919,very low
42919,None,266.72,0.0,0.0,90,Snow,light snow,4/4/2018 0:00,501,very low
319,None,286.18,0.0,0.0,20,Clouds,few clouds,10/15/2012 18:00,4535,high
2182,None,268.3,0.0,0.0,90,Mist,mist,12/19/2012 1:00,348,very low
14381,None,283.4,0.0,0.0,90,Clouds,overcast clouds,5/16/2014 21:00,2984,low
29888,None,265.95,0.0,0.0,40,Snow,light snow,1/9/2017 11:00,4261,low
46499,None,291.79,0.0,0.0,1,Mist,mist,8/7/2018 1:00,376,very low
526,None,286.75,0.0,0.0,99,Rain,moderate rain,10/23/2012 13:00,4945,high
18150,None,291.4,0.0,0.0,1,Clear,sky is clear,9/10/2015 11:00,4982,high
14639,None,298.42,0.0,0.0,90,Clouds,overcast clouds,5/25/2014 18:00,2982,low
5306,None,273.28,0.0,0.0,90,Mist,mist,4/19/2013 19:00,3715,low
34201,None,286.5,0.0,0.0,20,Clouds,few clouds,6/2/2017 7:00,6385,very high
36119,None,288.95,0.0,0.0,40,Fog,fog,8/10/2017 4:00,933,very low
35162,None,289.16,0.0,0.0,1,Clear,sky is clear,7/8/2017 1:00,829,very low
30129,None,272.35,0.0,0.0,90,Mist,mist,1/17/2017 4:00,821,very low
10907,None,249.45,0.0,0.0,40,Clouds,scattered clouds,12/23/2013 23:00,1148,very low
43104,None,276.28,0.0,0.0,75,Clouds,broken clouds,4/10/2018 16:00,7013,very high
21402,None,275.94,0.0,0.0,40,Clouds,scattered clouds,2/20/2016 9:00,3777,low
27522,None,280.24,0.0,0.0,0,Clear,Sky is Clear,10/23/2016 2:00,745,very low
4763,None,271.75,0.0,0.0,1,Clear,sky is clear,4/3/2013 21:00,2588,very low
20952,None,267.48,0.0,0.0,75,Mist,mist,2/1/2016 7:00,6323,very high
17204,None,291.7,0.0,0.0,1,Mist,mist,8/8/2015 6:00,1425,very low
14417,None,288.33,0.0,0.0,1,Clear,sky is clear,5/18/2014 9:00,3349,low
23047,None,278.82,0.0,0.0,75,Clouds,broken clouds,5/5/2016 5:00,2917,low
31908,None,276.08,0.0,0.0,1,Clear,sky is clear,3/21/2017 2:00,260,very low
17176,None,293.53,1.27,0.0,90,Rain,heavy intensity rain,8/7/2015 5:00,2780,very low
4970,None,279.1,0.0,0.0,90,Clouds,overcast clouds,4/10/2013 16:00,6383,very high
11019,None,274.7,0.25,0.0,64,Rain,light rain,12/27/2013 19:00,3143,low
5375,None,275.73,0.0,0.0,1,Clear,sky is clear,4/21/2013 20:00,3310,low
42621,None,277.35,0.0,0.0,90,Clouds,overcast clouds,3/25/2018 22:00,1794,very low
37868,None,287.76,0.0,0.0,5,Clear,sky is clear,10/8/2017 10:00,3612,low
45819,None,299.94,0.0,0.0,75,Clouds,broken clouds,7/13/2018 18:00,4664,high
8233,None,294.47,0.0,0.0,36,Clouds,scattered clouds,8/6/2013 12:00,5190,high
45529,None,294.02,0.0,0.0,1,Drizzle,light intensity drizzle,7/3/2018 8:00,5017,high
41357,None,262.41,0.0,0.0,90,Clouds,overcast clouds,2/8/2018 18:00,4550,high
47408,None,296.16,1.85,0.0,90,Mist,mist,9/4/2018 14:00,4785,high
42005,None,278.01,0.0,0.0,1,Clear,sky is clear,3/3/2018 11:00,4766,high
14211,None,286.27,0.41,0.0,36,Rain,moderate rain,5/10/2014 23:00,1762,very low
13435,None,269.55,0.0,0.0,40,Clouds,scattered clouds,4/5/2014 8:00,2974,low
996,None,276.93,0.0,0.0,90,Rain,light rain,11/7/2012 22:00,1544,very low
19268,None,282.3,0.0,0.0,90,Clouds,overcast clouds,10/31/2015 15:00,4648,high
14357,None,280.09,0.25,0.0,90,Rain,light rain,5/15/2014 21:00,3284,low
41196,None,262.3,0.0,0.0,90,Mist,mist,2/3/2018 8:00,2552,very low
18933,None,294.29,0.0,0.0,1,Clear,sky is clear,10/11/2015 11:00,2475,very low
29440,None,274.15,0.0,0.0,90,Drizzle,light intensity drizzle,12/24/2016 23:00,1828,very low
38422,None,273.72,0.0,0.0,90,Snow,light snow,10/28/2017 0:00,1340,very low
43668,None,278.28,0.0,0.0,1,Clear,sky is clear,4/29/2018 8:00,2153,very low
20578,None,253.29,0.0,0.0,1,Clear,sky is clear,1/12/2016 5:00,2577,very low
33681,None,295.68,0.0,0.0,75,Clouds,broken clouds,5/16/2017 13:00,4753,high
47437,None,292.44,0.44,0.0,90,Drizzle,light intensity drizzle,9/5/2018 1:00,304,very low
35353,None,292.29,0.0,0.0,1,Clear,sky is clear,7/15/2017 8:00,2980,low
46742,None,293.21,0.0,0.0,1,Clear,sky is clear,8/16/2018 2:00,300,very low
16861,None,299.67,0.0,0.0,40,Clouds,scattered clouds,7/25/2015 20:00,2300,very low
36691,None,291.86,0.0,0.0,75,Clouds,broken clouds,8/27/2017 20:00,2689,very low
44784,None,292.43,0.0,0.0,90,Drizzle,light intensity drizzle,6/8/2018 9:00,5011,high
30063,None,254.89,0.0,0.0,1,Mist,mist,1/15/2017 8:00,1502,very low
29471,None,273.88,0.0,0.0,90,Rain,moderate rain,12/25/2016 15:00,2540,very low
43314,None,270.28,0.0,0.0,90,Mist,mist,4/15/2018 11:00,1794,very low
35832,None,301.54,0.0,0.0,40,Clouds,scattered clouds,7/31/2017 19:00,3281,low
24184,None,294.43,0.0,0.0,92,Rain,moderate rain,6/14/2016 14:00,5079,high
17859,None,295.73,0.0,0.0,75,Clouds,broken clouds,8/31/2015 10:00,4734,high
42469,None,271.01,0.0,0.0,90,Snow,light snow,3/20/2018 7:00,6426,very high
20515,None,270.15,0.0,0.0,90,Snow,light snow,1/8/2016 21:00,2506,very low
9140,None,294.8,0.0,0.0,0,Clear,Sky is Clear,9/26/2013 22:00,2471,very low
12433,None,259.77,0.0,0.0,20,Clouds,few clouds,2/22/2014 10:00,2775,very low
37766,None,284.29,0.0,0.0,1,Fog,fog,10/6/2017 2:00,286,very low
25919,None,290.43,0.0,0.0,75,Clouds,broken clouds,8/22/2016 8:00,5397,high
23125,None,279.98,0.0,0.0,1,Clear,sky is clear,5/8/2016 2:00,630,very low
38322,None,281.68,0.0,0.0,75,Haze,haze,10/25/2017 20:00,3115,low
7712,None,292.71,0.0,0.0,0,Mist,mist,7/16/2013 7:00,6372,very high
81,None,278.81,0.0,0.0,90,Clouds,overcast clouds,10/6/2012 0:00,1231,very low
15274,None,294.96,0.3,0.0,1,Rain,light rain,7/6/2014 8:00,1449,very low
25408,None,297.63,0.0,0.0,75,Clouds,broken clouds,8/1/2016 10:00,3512,low
26350,None,296.4,0.0,0.0,90,Drizzle,light intensity drizzle,9/5/2016 19:00,2751,very low
37376,None,301.44,0.0,0.0,40,Clouds,scattered clouds,9/22/2017 22:00,3054,low
6358,None,280.4,0.0,0.0,1,Clear,sky is clear,5/24/2013 5:00,2570,very low
26040,None,294.56,0.0,0.0,1,Clear,sky is clear,8/26/2016 13:00,5090,high
7739,None,304.15,0.0,0.0,0,Clear,Sky is Clear,7/17/2013 12:00,5679,high
27828,None,293.09,0.0,0.0,1,Clear,sky is clear,11/4/2016 16:00,6030,very high
20118,None,272.81,0.0,0.0,90,Mist,mist,12/20/2015 23:00,992,very low
28171,None,280.88,0.0,0.0,90,Drizzle,light intensity drizzle,11/18/2016 2:00,346,very low
5256,None,274.65,0.0,0.0,90,Mist,mist,4/18/2013 23:00,889,very low
37225,None,285.88,0.0,0.0,20,Thunderstorm,proximity thunderstorm,9/17/2017 3:00,378,very low
11292,None,257.17,0.0,0.0,64,Clouds,broken clouds,1/7/2014 16:00,5721,high
13032,None,273.65,0.54,0.0,90,Rain,light rain,3/19/2014 12:00,4518,high
512,None,285.33,0.0,0.0,90,Clouds,overcast clouds,10/22/2012 23:00,959,very low
4772,None,265.67,0.0,0.0,1,Clear,sky is clear,4/4/2013 6:00,5539,high
5379,None,273.76,0.0,0.0,90,Clouds,overcast clouds,4/22/2013 0:00,506,very low
40036,None,264.86,0.0,0.0,90,Clouds,overcast clouds,12/24/2017 6:00,839,very low
15747,None,298.98,0.0,0.0,75,Clouds,broken clouds,7/25/2014 14:00,5866,very high
43776,None,282.099,0.0,0.0,12,Clouds,few clouds,5/3/2018 6:00,5893,very high
22135,None,279.72,0.0,0.0,90,Drizzle,light intensity drizzle,3/30/2016 8:00,5923,very high
4285,None,263.29,0.0,0.0,1,Clear,sky is clear,3/14/2013 6:00,4336,low
7289,None,295.8,0.0,0.0,0,Clear,Sky is Clear,6/29/2013 0:00,1164,very low
29494,None,274.98,0.0,0.0,90,Drizzle,drizzle,12/25/2016 21:00,1858,very low
3672,None,256.66,0.0,0.0,75,Mist,mist,2/17/2013 2:00,613,very low
18604,None,286.15,0.0,0.0,90,Fog,fog,9/26/2015 7:00,2379,very low
35251,None,292.15,0.0,0.0,5,Clear,sky is clear,7/11/2017 8:00,5788,high
22722,None,284.58,1.6,0.0,90,Thunderstorm,proximity thunderstorm,4/24/2016 8:00,2620,very low
8068,None,289.86,0.51,0.0,92,Drizzle,drizzle,7/31/2013 6:00,6289,very high
8781,None,293.87,0.0,0.0,80,Clouds,broken clouds,9/4/2013 22:00,2027,very low
40200,None,256.61,0.0,0.0,90,Snow,light snow,12/29/2017 18:00,3929,low
27408,None,284.634,0.0,0.0,64,Rain,light rain,10/17/2016 23:00,1916,very low
9509,None,283.9,0.0,0.0,0,Clear,Sky is Clear,10/16/2013 18:00,5013,high
6315,None,281.91,0.0,0.0,90,Mist,mist,5/23/2013 1:00,381,very low
29510,None,272.44,0.0,0.0,90,Clouds,overcast clouds,12/26/2016 6:00,1931,very low
32190,None,282.88,0.0,0.0,90,Drizzle,drizzle,3/29/2017 17:00,6513,very high
19635,None,270.22,0.0,0.0,90,Clouds,overcast clouds,11/23/2015 0:00,449,very low
37481,None,287.31,0.0,0.0,90,Drizzle,drizzle,9/26/2017 6:00,5591,high
43455,None,278.57,0.0,0.0,75,Clouds,broken clouds,4/20/2018 11:00,5200,high
23467,None,294.56,0.0,0.0,40,Clouds,scattered clouds,5/19/2016 13:00,5005,high
2461,None,265.82,0.0,0.0,90,Snow,heavy snow,12/28/2012 22:00,2335,very low
45211,None,293.15,0.0,0.0,1,Clear,sky is clear,6/21/2018 23:00,1455,very low
38884,None,268.68,0.0,0.0,1,Mist,mist,11/13/2017 5:00,2844,very low
29140,None,254.34,0.0,0.0,1,Clear,sky is clear,12/14/2016 23:00,1109,very low
11896,None,255.93,0.0,0.0,0,Clear,sky is clear,1/31/2014 1:00,390,very low
23933,None,290.82,0.0,0.0,40,Rain,light rain,6/4/2016 9:00,3957,low
36016,None,287.15,0.0,0.0,1,Fog,fog,8/7/2017 2:00,292,very low
11005,None,263.66,0.0,0.0,64,Mist,mist,12/27/2013 4:00,628,very low
33097,None,276.15,0.0,0.0,90,Snow,light snow,4/26/2017 20:00,2768,very low
8681,None,306.24,0.0,0.0,8,Clear,sky is clear,8/27/2013 14:00,5883,very high
29228,None,257.89,0.0,0.0,90,Haze,haze,12/17/2016 10:00,2205,very low
20478,None,273.8,0.0,0.06,90,Mist,mist,1/7/2016 15:00,5811,high
10502,None,255.94,0.0,0.0,64,Mist,mist,12/8/2013 6:00,797,very low
32575,None,277.21,0.0,0.0,40,Haze,haze,4/11/2017 12:00,5037,high
32695,None,286.71,0.0,0.0,90,Mist,mist,4/15/2017 1:00,799,very low
38595,None,276.15,0.0,0.0,90,Clouds,overcast clouds,11/2/2017 18:00,5048,high
39603,None,270.88,0.0,0.0,75,Clouds,broken clouds,12/8/2017 14:00,5424,high
46841,None,301.69,0.0,0.0,1,Clear,sky is clear,8/19/2018 17:00,4870,high
19095,None,290.72,0.0,0.0,1,Clear,sky is clear,10/20/2015 13:00,4808,high
11189,None,264.25,0.0,0.0,64,Haze,haze,1/3/2014 14:00,5302,high
4479,None,270.91,0.0,0.0,1,Clear,sky is clear,3/23/2013 12:00,4999,high
43344,None,268.79,0.0,0.0,90,Haze,haze,4/16/2018 0:00,407,very low
43230,None,272.01,0.0,0.0,90,Rain,light rain,4/14/2018 7:00,1311,very low
20669,None,247.15,0.0,0.0,1,Clear,sky is clear,1/17/2016 8:00,1988,very low
48016,None,295.23,0.0,0.0,75,Haze,haze,9/23/2018 19:00,3516,low
6238,None,289.68,0.0,0.0,90,Rain,light rain,5/21/2013 6:00,6036,very high
5068,None,271.88,0.0,0.0,90,Mist,mist,4/13/2013 1:00,707,very low
8307,None,291.34,0.0,0.0,90,Clouds,overcast clouds,8/9/2013 22:00,2933,low
30540,None,272.64,0.0,0.0,1,Clear,sky is clear,1/27/2017 16:00,6261,very high
29514,None,266.85,0.0,0.0,90,Snow,light snow,12/26/2016 10:00,2476,very low
24113,None,305.56,0.0,0.0,0,Clear,Sky is Clear,6/11/2016 15:00,4380,high
19964,None,277.01,0.0,0.0,90,Drizzle,drizzle,12/13/2015 4:00,289,very low
34540,None,300.02,0.0,0.0,40,Clouds,scattered clouds,6/14/2017 20:00,3089,low
2022,None,268.61,0.0,0.0,75,Haze,haze,12/15/2012 10:00,3519,low
26641,None,290.62,1.86,0.0,75,Mist,mist,9/15/2016 19:00,3020,low
30192,None,275.35,0.0,0.0,1,Clear,sky is clear,1/18/2017 18:00,4599,high
9367,None,290.9,0.0,0.0,1,Clear,sky is clear,10/9/2013 1:00,337,very low
14250,None,288.8,4.89,0.0,90,Rain,heavy intensity rain,5/12/2014 2:00,260,very low
14029,None,284.45,0.0,0.0,90,Clouds,overcast clouds,5/4/2014 22:00,1556,very low
5820,None,289.17,0.0,0.0,1,Clear,sky is clear,5/6/2013 21:00,2475,very low
22691,None,277.13,0.0,0.0,1,Clear,sky is clear,4/23/2016 6:00,1442,very low
35179,None,299.71,0.0,0.0,40,Clouds,scattered clouds,7/8/2017 15:00,4238,low
15851,None,301.72,0.0,0.0,24,Clouds,few clouds,8/1/2014 18:00,4948,high
17573,None,285.71,0.0,0.0,40,Clouds,scattered clouds,8/20/2015 4:00,923,very low
23502,None,284.86,0.0,0.0,1,Clear,sky is clear,5/21/2016 0:00,1689,very low
34673,None,287.51,0.0,0.0,40,Clouds,scattered clouds,6/20/2017 1:00,437,very low
13249,None,275.01,0.6,0.0,75,Rain,light rain,3/28/2014 13:00,5777,high
8762,None,285.51,0.0,0.0,0,Clear,Sky is Clear,9/2/2013 22:00,1754,very low
37513,None,281.55,0.0,0.0,20,Clouds,few clouds,9/27/2017 8:00,5930,very high
31339,None,270.71,0.0,0.0,40,Clouds,scattered clouds,2/27/2017 9:00,5034,high
988,None,278.21,0.0,0.0,90,Drizzle,drizzle,11/7/2012 16:00,6267,very high
10400,None,271.45,1.52,0.0,90,Rain,moderate rain,12/4/2013 10:00,3869,low
41595,None,267.75,0.0,0.0,90,Clouds,overcast clouds,2/18/2018 8:00,1889,very low
24565,None,292.88,0.0,0.0,75,Clouds,broken clouds,6/30/2016 8:00,5549,high
37724,None,284.15,0.0,0.0,40,Clouds,scattered clouds,10/4/2017 11:00,4826,high
30857,None,261.97,0.0,0.0,75,Snow,light snow,2/8/2017 0:00,739,very low
27351,None,292.612,0.0,0.0,92,Clouds,overcast clouds,10/15/2016 11:00,4079,low
37277,None,287.15,0.0,0.0,90,Mist,mist,9/18/2017 22:00,1493,very low
44195,None,301.44,0.0,0.0,40,Clouds,scattered clouds,5/18/2018 17:00,6197,very high
43775,None,281.022,0.0,0.0,48,Clouds,scattered clouds,5/3/2018 5:00,3025,low
30008,None,248.66,0.0,0.0,1,Clear,sky is clear,1/13/2017 4:00,758,very low
40012,None,262.44,0.0,0.0,1,Clear,sky is clear,12/23/2017 6:00,1016,very low
47483,None,288.74,0.51,0.0,1,Rain,light rain,9/6/2018 10:00,4579,high
32038,None,276.68,0.0,0.0,90,Clouds,overcast clouds,3/25/2017 0:00,1473,very low
33116,None,273.65,0.0,0.0,90,Mist,mist,4/27/2017 6:00,5610,high
25864,None,289.73,0.0,0.0,92,Rain,moderate rain,8/20/2016 6:00,1206,very low
36613,None,289.65,0.0,0.0,90,Thunderstorm,proximity thunderstorm,8/26/2017 1:00,758,very low
5646,None,292.48,0.0,0.0,90,Clouds,overcast clouds,5/1/2013 11:00,4770,high
1783,None,275.9,0.0,0.0,90,Clouds,overcast clouds,12/7/2012 18:00,4270,low
32003,None,276.35,0.0,0.0,90,Drizzle,light intensity drizzle,3/24/2017 2:00,313,very low
22185,None,277.37,0.0,0.0,40,Clouds,scattered clouds,4/1/2016 16:00,6830,very high
14920,None,293.67,0.0,0.0,90,Clouds,overcast clouds,6/5/2014 18:00,5281,high
44267,None,290.36,0.0,0.0,90,Rain,light rain,5/21/2018 12:00,4810,high
43424,None,269.76,0.0,0.0,1,Clear,sky is clear,4/19/2018 4:00,909,very low
29944,None,258.78,0.0,0.0,1,Clear,sky is clear,1/10/2017 21:00,2003,very low
46533,None,289.55,0.0,0.0,40,Mist,mist,8/8/2018 5:00,3119,low
13061,None,279.63,0.0,0.0,40,Clouds,scattered clouds,3/20/2014 17:00,6103,very high
18102,None,287.04,0.0,0.0,40,Mist,mist,9/9/2015 8:00,6118,very high
26016,None,294.9,0.0,0.0,40,Clouds,scattered clouds,8/25/2016 14:00,5157,high
17169,None,293.54,3.54,0.0,90,Thunderstorm,proximity thunderstorm,8/7/2015 1:00,452,very low
22545,None,290.73,0.0,0.0,90,Haze,haze,4/18/2016 20:00,2739,very low
36943,None,284.64,0.0,0.0,40,Clouds,scattered clouds,9/6/2017 9:00,5875,very high
40926,None,264.87,0.0,0.0,90,Mist,mist,1/24/2018 9:00,5153,high
36406,None,295.48,0.0,0.0,90,Clouds,overcast clouds,8/18/2017 19:00,3714,low
32560,None,273.77,0.0,0.0,90,Mist,mist,4/11/2017 1:00,462,very low
25382,None,293.68,0.0,0.0,75,Clouds,broken clouds,7/31/2016 8:00,1872,very low
16660,None,293.22,7.25,0.0,90,Mist,mist,7/18/2015 2:00,626,very low
20671,None,249.29,0.0,0.0,1,Clear,sky is clear,1/17/2016 10:00,2857,very low
41810,None,270.36,0.0,0.0,90,Haze,haze,2/24/2018 14:00,4831,high
1605,None,274.06,0.0,0.0,90,Mist,mist,12/1/2012 11:00,4618,high
40520,None,275.15,0.0,0.0,90,Fog,fog,1/10/2018 23:00,1115,very low
16440,None,299.07,0.0,0.0,1,Clear,sky is clear,7/10/2015 11:00,4818,high
39185,None,268.02,0.0,0.0,1,Clear,sky is clear,11/23/2017 5:00,423,very low
4873,None,276.57,0.0,0.0,90,Clouds,overcast clouds,4/7/2013 21:00,2316,very low
15457,None,297.15,0.0,0.0,1,Clear,sky is clear,7/12/2014 19:00,3323,low
6876,None,288.37,0.25,0.0,68,Rain,light rain,6/11/2013 4:00,786,very low
18107,None,291.29,0.0,0.0,90,Drizzle,drizzle,9/9/2015 12:00,2786,very low
38543,None,274.86,0.0,0.0,75,Snow,light snow,11/1/2017 13:00,5008,high
31398,None,270.62,0.0,0.0,90,Snow,snow,3/1/2017 6:00,3771,low
5032,None,272.08,0.0,0.0,90,Snow,snow,4/12/2013 9:00,5197,high
13691,None,274.18,0.0,0.0,90,Clouds,overcast clouds,4/16/2014 0:00,546,very low
5432,None,277.12,0.0,0.0,90,Rain,moderate rain,4/23/2013 15:00,5544,high
25343,None,298.42,0.0,0.0,20,Clouds,few clouds,7/29/2016 17:00,4818,high
40730,None,255.28,0.0,0.0,1,Clear,sky is clear,1/17/2018 5:00,2856,very low
6075,None,292.47,0.0,0.0,1,Clear,sky is clear,5/16/2013 23:00,1313,very low
39726,None,271.38,0.0,0.0,40,Snow,light snow,12/13/2017 2:00,268,very low
2938,None,257.97,0.0,0.0,1,Clear,sky is clear,1/14/2013 22:00,1347,very low
4590,None,270.18,0.0,0.0,90,Clouds,overcast clouds,3/28/2013 2:00,296,very low
47363,None,295.27,0.44,0.0,90,Rain,light rain,9/3/2018 19:00,3006,low
21855,None,277.43,0.0,0.0,90,Rain,light rain,3/17/2016 1:00,419,very low
9014,None,289.58,0.0,0.0,90,Rain,light rain,9/18/2013 4:00,850,very low
34820,None,285.96,0.0,0.0,90,Mist,mist,6/25/2017 9:00,3390,low
37507,None,284.22,0.0,0.0,40,Clouds,scattered clouds,9/27/2017 2:00,271,very low
19716,None,270.34,0.0,0.0,5,Clear,sky is clear,11/28/2015 12:00,4974,high
14973,None,285.68,5.02,0.0,90,Mist,mist,6/7/2014 8:00,3124,low
16740,None,289.47,0.0,0.0,1,Clear,sky is clear,7/21/2015 7:00,5130,high
44740,None,296.42,0.0,0.0,40,Clouds,scattered clouds,6/6/2018 21:00,2723,very low
